Uuid,Same as mappings,Void/Retire,Fully specified name:en,Fully specified name:km,Short name:en,Short name:km,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1250
1d002c15-3acd-4720-ac0c-5d41c787580f,,,Cambodia_Chief Complaint,Cambodia_Chief Complaint,Chief Complaint,ការត្អួញត្អែរ,,,Misc,Text,,,,,,,,,,,
5f1a6980-88f4-4b1d-a44d-26a042f44ddf,,,Cambodia_CD stool/urine normal,Cambodia_CD stool/urine normal,stool/urine normal,,,,Misc,N/A,,,,,,,,,,,
7a5a9005-732a-42a3-ad46-80e966507aa7,,,Cambodia_CD appetite normal,Cambodia_CD appetite normal,good appetite,,,,Misc,N/A,,,,,,,,,,,
72592fd8-4099-465b-b77c-ed6b6bdb1758,,,Cambodia_No Dysuria,Cambodia_No Dysuria,no dysuria,,,,Misc,N/A,,,,,,,,,,,
a0932ed8-86ba-4382-95f4-07bc717e039d,,,Cambodia_No Nausea/Vomiting,Cambodia_No Nausea/Vomiting,no nausea/vomiting,,,,Misc,N/A,,,,,,,,,,,
1a08826b-8d42-4901-a754-ade0e6c793f8,,,Cambodia_No Fever,Cambodia_No Fever,no fever,,,,Misc,N/A,,,,,,,,,,,
fe08c6f6-3ee1-47f6-a24c-82c657a37bde,,,Cambodia_No Diarrhea,Cambodia_No Diarrhea,no diarrhea,,,,Misc,N/A,,,,,,,,,,,
3f62c840-1023-479f-b357-641d4ace30c5,,,Cambodia_Complaint Desc common,Cambodia_Complaint Desc common,Notes,,,,Question,Coded,,Cambodia_CD stool/urine normal; Cambodia_CD appetite normal;Cambodia_No Fever; Cambodia_No Nausea/Vomiting;Cambodia_No Diarrhea; Cambodia_No Dysuria;,,,,,,,,,
20a5e311-826f-4dd4-b5e6-ffdc72c11496,,,Cambodia_History of Present Illness,Cambodia_History of Present Illness,History of Present Illness,ប្រវត្តិជំងឺបច្ចុប្បន្ន,,,Misc,Text,,,,,,,,,,,
e7a80dd9-0fda-4d8e-b613-b2a37b11874e,,,Cambodia_Progress Note,Cambodia_Progress Note,Progress Note,ការវិវត្តិជំងឺ,,,Misc,Text,,,,,,,,,,,
e2bcd166-418d-499e-b3fe-985030a9f8eb,,,Cambodia_New Case,Cambodia_New Case,New case of complaint?,ការត្អួញត្អែរថ្មី?,,,Question,Boolean,,,,,,,,,,,
c59a235b-606c-43dc-8d4a-b2f772da450b,,TRUE,Cambodia_Chief Complaint Form,Cambodia_Chief Complaint Form,Chief Complaint Form,ការត្អួញត្អែរ,,,ConvSet,N/A,,,Chief Complaint; Cambodia_History of Present Illness; Cambodia_New Case,,,,,,,,
31ea0c8e-b127-425b-9f2f-da5ba54ca909,,,Cambodia_Chills,Cambodia_Chills,chills,ញាក់,,,Misc,N/A,,,,,,,,,,,
204a10a2-0d06-42b7-9c6a-1df745a58145,,,Cambodia_Weakness,Cambodia_Weakness,weakness,ខ្សោយ,,,Misc,N/A,,,,,,,,,,,
2429f9c4-89b7-4b95-b02d-ac683b75d43c,,,Cambodia_Weight Loss,Cambodia_Weight Loss,weight loss,ស្រកទម្ងន់,,,Misc,N/A,,,,,,,,,,,
7304c137-bd63-47ed-93e7-9d22e56880a1,,,Cambodia_Other General Symptoms,Cambodia_Other General Symptoms,General Details,លម្អិតទូទៅ,,,Misc,Text,,,,,,,,,,,
f8269df9-357b-4a5e-8493-ef696ae1cf22,,,Cambodia_General Symptoms,Cambodia_General Symptoms,GENERAL Symptoms,រោគសញ្ញាទូទៅ,,,Question,Coded,,Cambodia_Normal; Cambodia_Fever; Cambodia_Chills; Cambodia_Weakness; Cambodia_Weight Loss; ,,,,,,,,,
4d40dfee-cdba-4cf8-9867-677225a6d713,,,Cambodia_Sore Throat,Cambodia_Sore Throat,sore throat,ឈឺក,,,Misc,N/A,,,,,,,,,,,
45aab210-f1d1-4e8a-974f-3874dbde047e,,,Cambodia_Sinus Drainage,Cambodia_Sinus Drainage,runny nose,ហូរខ្ទុះក្នុងប្រហោងឆ្អឹងច្រមុះ,,,Misc,N/A,,,,,,,,,,,
db0c5ec0-485d-48a0-9690-fc04d5c9f7ee,,,Cambodia_Earache or Drainage,Cambodia_Earache or Drainage,earache/drainage,ឈឺត្រចៀក/ហូរខ្ទុះ,,,Misc,N/A,,,,,,,,,,,
caa91d11-8767-49a7-a802-fef20c93de70,,,Cambodia_Blurred Vision,Cambodia_Blurred Vision,blurred vision,ព្រិលភ្នែក,,,Misc,N/A,,,,,,,,,,,
db82c85a-730f-4294-8fd8-f89ba2fa705e,,,Cambodia_HEENT Symptoms,Cambodia_HEENT Symptoms,HEENT Symptoms,រោគសញ្ញា ក្បាល ភ្នែក ត្រចៀក ច្រមុះ បំពង់ក,,,Question,Coded,,Cambodia_Normal; Cambodia_Sore Throat; Cambodia_Sinus Drainage; Cambodia_Earache or Drainage; Cambodia_Blurred Vision; ,,,,,,,,,
d58a95ab-3129-4503-b656-d82d7950e6e2,,,Cambodia_Chest Pain,Cambodia_Chest Pain,chest pain,ឈឺដើមទ្រូង,,,Misc,N/A,,,,,,,,,,,
e09c5b96-d4fe-45b2-85c9-4e9f1402f993,,,Cambodia_Palpitations,Cambodia_Palpitations,palpitations,ញ័រដើមទ្រូង,,,Misc,N/A,,,,,,,,,,,
2b7e59ac-b80f-45e3-9dba-068b3f142508,,,Cambodia_Irregular Heart Rate,Cambodia_Irregular Heart Rate,irregular heartrate,ចង្វាក់បេះដូងមិនទៀងទាត់​,,,Misc,N/A,,,,,,,,,,,
22dd2b2b-2fc8-4d90-93ff-61532bcca648,,,Cambodia_PND,Cambodia_PND,PND,ពិបាកដកដង្ហើមឬហត់ពេលយប់,,,Misc,N/A,,,,,,,,,,,
ce86594a-abd1-4c32-997a-2fca27677d03,,,Cambodia_Cardiovascular Symptoms,Cambodia_Cardiovascular Symptoms,CARDIOVASCULAR Symptoms,រោគសញ្ញាសរសៃរឈាមបេះដូង,,,Question,Coded,,Cambodia_Normal; Cambodia_Chest Pain; Cambodia_Palpitations; Cambodia_Irregular Heart Rate; Cambodia_PND; ,,,,,,,,,
91a53967-4f2c-484b-a1b1-fc15de4b352c,,,Cambodia_Cough,Cambodia_Cough,cough,ក្អក,,,Misc,N/A,,,,,,,,,,,
370d5292-c639-48c6-bd1d-171983fd031a,,,Cambodia_Dyspnea,Cambodia_Dyspnea,dyspnea,ពិបាកដកដង្ហើម,,,Misc,N/A,,,,,,,,,,,
b544ffaa-54dd-4a09-bd01-63451eaf68a9,,,Cambodia_Wheezing,Cambodia_Wheezing,wheezing,សំលេងដូចហួច,,,Misc,N/A,,,,,,,,,,,
99c4dab8-da96-480d-b3b8-2ed1e1febfc4,,,Cambodia_Hemoptysis,Cambodia_Hemoptysis,hemoptysis,ក្អកធ្លាក់ឈាម,,,Misc,N/A,,,,,,,,,,,
14b5aef6-be82-4fef-8523-8550982aeeb6,,,Cambodia_Other Respiratory Symptoms,Cambodia_Other Respiratory Symptoms,Other Respiratory Symptoms,រោគសញ្ញាផ្លូវដកដង្ហើមផ្សេងៗ,,,Misc,Text,,,,,,,,,,,
7f474693-7227-4686-abd0-20e420b90e62,,,Cambodia_Respiratory Symptoms,Cambodia_Respiratory Symptoms,CHEST/LUNG Symptoms,រោគសញ្ញាផ្លូវដកដង្ហើម,,,Question,Coded,,Cambodia_Normal; Cambodia_Cough; Cambodia_Dyspnea; Cambodia_Wheezing; Cambodia_Hemoptysis; ,,,,,,,,,
03d6999a-67d4-4bda-a7bf-15569da60c94,,,Cambodia_Nausea,Cambodia_Nausea,nausea,ចង្អោរ,,,Misc,N/A,,,,,,,,,,,
25cddb17-eb6e-41bc-91c0-a031524e0532,,,Cambodia_Vomiting,Cambodia_Vomiting,vomiting,ក្អួត,,,Misc,N/A,,,,,,,,,,,
5896bdef-24ff-40d0-9711-9144e266c240,,,Cambodia_Abdominal pain,Cambodia_Abdominal pain,abdominal pain,ឈឺពោះ,,,Misc,N/A,,,,,,,,,,,
6b9d031a-7e4a-4849-bab5-b08de31befba,,,Cambodia_Abdominal swelling,Cambodia_Abdominal swelling,abdominal swelling,ហើមពោះ,,,Misc,N/A,,,,,,,,,,,
1ef5342a-ad25-4a4e-a2ee-f66c983de8ed,,,Cambodia_Simple Diarrhea,Cambodia_Simple Diarrhea,simple diarrhea (< 10 per day),បាទឬចាស តិចជាង​១០ដងក្នុង១ថ្ងៃ,,,Misc,N/A,,,,,,,,,,,
320bf72d-966b-4439-a843-fd8a67c1c442,,,Cambodia_Severe Diarrhea,Cambodia_Severe Diarrhea,severe diarrhea (10+ per day),បាទឬចាស ​លើស១០ដងក្នុង១ថ្ងៃ,,,Misc,N/A,,,,,,,,,,,
132b3486-0d4a-4f4c-8470-95e67ee5444b,,,Cambodia_Bloody Diarrhea,Cambodia_Bloody Diarrhea,bloody diarrhea,រាកមានឈាម,,,Misc,N/A,,,,,,,,,,,
