Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:km,Short name:en,Short name:km,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,_version:1,_order:1100
3b904b24-0dd8-4217-8a2d-54cbc261ca31,,,Ischaemic heart disease,,Ischaemic heart disease,,Ischaemic heart disease,,Misc,N/A,,,,,
02c3a0d6-241a-4fe0-89e2-afd622fadf13,,,"Stroke : ischaemic stroke , intracerebral hemorrhage, subarachoid hemorrage",,"Stroke : ischaemic stroke , intracerebral hemorrhage, subarachoid hemorrage",,"Stroke : ischaemic stroke , intracerebral hemorrhage, subarachoid hemorrage",,Misc,N/A,,,,,
90675648-15a5-40ad-8b5b-b0a3b0a97889,,,Neonatal condition,,Neonatal condition,,Neonatal condition,,Misc,N/A,,,,,
d868525a-7643-4f02-a27b-f2796eff5ec7,,,Chronic Obstructive Pulmonary Disease,,Chronic Obstructive Pulmonary Disease,,Chronic Obstructive Pulmonary Disease,,Misc,N/A,,,,,
d7eeeb62-b6d1-4ec0-93c8-4ff2e6218f1b,,,Lower respiratory tract infection,,Lower respiratory tract infection,,Lower respiratory tract infection,,Misc,N/A,,,,,
22a8f4dd-1d25-4c27-95c1-899a2eeeddac,,,Diarrheal disease,,Diarrheal disease,,Diarrheal disease,,Misc,N/A,,,,,
0297129f-c8d5-45ec-af84-0b8ca475ff51,,,Tuberculosis,,Tuberculosis,,Tuberculosis,,Misc,N/A,,,,,
f0b961f8-9a85-4dcb-9998-00dbeefac1b6,,,Infection Disease,,Infection Disease,,Infection Disease,,Misc,N/A,,,,,
5aea7eb6-eabe-4dfb-b94e-8436f9091021,,,Cancers,,Cancers,,Cancers,,Misc,N/A,,,,,
c968ca4c-5b08-4b98-8cfa-74b03f43c2c8,,,Cirrosis of Liver and other chronic liver diseases,,Cirrosis of Liver and other chronic liver diseases,,Cirrosis of Liver and other chronic liver diseases,,Misc,N/A,,,,,
bec1b3ee-2958-40b6-9a93-49ff9e4d9ca8,,,Diabetes Mellitus,,Diabetes Mellitus,,Diabetes Mellitus,,Misc,N/A,,,,,
3fbe45eb-120d-4536-bf1b-4b144c4ac00e,,,Road injury,,Road injury,,Road injury,,Misc,N/A,,,,,
1fa1c44a-52e2-4bda-96c7-8cae9e7d4330,,,Road accident (Musculoskeletal disorders),,Road accident (Musculoskeletal disorders),,Road accident (Musculoskeletal disorders),,Misc,N/A,,,,,
2a1bbb20-2ba7-47f4-9929-a35c07e24ad2,,,Hypertensive Heart Disease,,Hypertensive Heart Disease,,Hypertensive Heart Disease,,Misc,N/A,,,,,
2fd77d90-9e38-464f-875e-ba00191bd4e2,,,Alzheimer's disease and other Dementia,,Alzheimer's disease and other Dementia,,Alzheimer's disease and other Dementia,,Misc,N/A,,,,,
6282ec31-fdf0-48c0-96d4-52516df31c44,,,Kidney disease,,Kidney disease,,Kidney disease,,Misc,N/A,,,,,
02f8c734-0632-4a76-9c09-61fa39023164,,,Liver Cancer,,Liver Cancer,,Liver Cancer,,Misc,N/A,,,,,
a7c66fc7-5dfa-4647-883a-0523eaaa938d,,,"Trachea, Bronchus , Lung Cancers",,"Trachea, Bronchus , Lung Cancers",,"Trachea, Bronchus , Lung Cancers",,Misc,N/A,,,,,
5d6d560c-5c24-4357-a9c7-7335cb17641a,,,Colon and Rectum Cancers,,Colon and Rectum Cancers,,Colon and Rectum Cancers,,Misc,N/A,,,,,
88e889ad-51e2-4b8b-a82e-4343b126f83d,,,Covid-19 Pandemic,,Covid-19 Pandemic,,Covid-19 Pandemic,,Misc,N/A,,,,,
f33fce63-2720-4374-8ad6-5636ff8d048a,,,Suicide,,Suicide,,Suicide,,Misc,N/A,,,,,
e6d29628-cbef-484b-aa65-2eccdcb2e8bb,,,Malaria,,Malaria,,Malaria,,Misc,N/A,,,,,
6930129f-5a4e-4c9e-b4c5-955854588031,,,Homicide,,Homicide,,Homicide,,Misc,N/A,,,,,
